Id,SalePrice
1461,105275.91811205377
1462,151435.14293133072
1463,164504.45041460847
1464,182219.61569028464
1465,188254.35284666927
1466,170553.13849885832
1467,187848.27895055572
1468,161890.13420717884
1469,198367.06675002188
1470,110125.02814273513
1471,200544.4319684701
1472,100983.8487538111
1473,86123.89981717081
1474,144408.58194725565
1475,107196.4270511549
1476,345625.20231512166
1477,238557.09355430678
1478,303157.5846708354
1479,297541.0351095896
1480,422997.336217226
1481,280483.081234148
1482,212203.72576925554
1483,177168.45898288162
1484,167334.97240243782
1485,198552.27839104016
1486,208290.1699375778
1487,292881.56501614
1488,236731.09080977202
1489,186859.9577553824
1490,242832.5500920515
1491,214070.07480268367
1492,91209.99651059881
1493,205992.98618560424
1494,286356.9744708312
1495,264132.475776362
1496,248118.3444381135
1497,171580.3588278049
1498,170564.52750575333
1499,166042.48858924047
1500,159714.69571338897
1501,200515.79972543102
1502,148220.1209886968
1503,279739.33011452714
1504,239380.68837161618
1505,221559.52236896544
1506,194975.6692961182
1507,244156.41290670913
1508,204129.32607950084
1509,149883.8520228744
1510,131709.01859682146
1511,154344.39646436577
1512,178051.21171834017
1513,154356.0758896235
1514,136153.91033149115
1515,210437.37326000235
1516,169633.20025162003
1517,167431.68654248887
1518,120281.41989369388
1519,229047.45398048568
1520,128443.27290966013
1521,119657.02955782763
1522,193380.7012988266
1523,97530.55465513072
1524,125082.79596329015
1525,93987.02192326658
1526,86262.69499695417
1527,89076.33952546096
1528,146454.28471072833
1529,135600.9226175293
1530,196444.1262951186
1531,151748.19292839593
1532,104630.43895505159
1533,167282.09880314837
1534,152686.23866470228
1535,160229.05287235207
1536,107372.71778369485
1537,42265.83885763399
1538,164504.28836481925
1539,233043.35566316103
1540,108525.3389880408
1541,140314.80638694274
1542,144023.5009315277
1543,186437.70740478742
1544,89077.14789801114
1545,110454.56715427223
1546,138678.31247511203
1547,152669.77062937804
1548,130584.58580116648
1549,105211.99056573189
1550,134563.78471954237
1551,137947.1289131113
1552,144777.12816309067
1553,154028.58043003478
1554,120441.31802886515
1555,163791.41921510384
1556,75219.47944746236
1557,104377.07686417969
1558,117019.84687401238
1559,73257.90576268593
1560,135926.08155742032
1561,150737.2672321524
1562,134358.0962034266
1563,117549.68298227573
1564,158567.5667682083
1565,131499.14537677262
1566,235507.94935957412
1567,80512.45897737914
1568,231736.5211434199
1569,130611.75387457036
1570,137723.31553840288
1571,94790.93722911691
1572,137591.27939517307
1573,250091.3062263832
1574,109053.25324218976
1575,229744.8894161922
1576,244473.79010519083
1577,191493.0302942309
1578,155384.10221406538
1579,120683.95442016283
1580,189107.3411339738
1581,161587.56914555002
1582,122854.9930328601
1583,286124.472213265
1584,220390.8098537277
1585,149829.13299458008
1586,46086.78206466697
1587,104543.81478740624
1588,152205.4326573438
1589,100385.37069884501
1590,133051.7632161954
1591,63689.41041840124
1592,138377.5340424513
1593,128664.84738419135
1594,149683.70871361112
1595,107456.38218480395
1596,220494.04725381383
1597,164368.5110328358
1598,190805.5286198128
1599,185189.01607620204
1600,182454.25381518737
1601,29353.85224889638
1602,114141.85940818535
1603,63676.64110697969
1604,272623.11403541896
1605,242983.41435656766
1606,165713.7186448516
1607,163384.87913629995
1608,222516.18350198516
1609,191937.60841795127
1610,148696.9041607047
1611,128768.35991090978
1612,188364.268211663
1613,159459.9601324147
1614,135377.24164605606
1615,71508.11082551023
1616,48025.915356297744
1617,68372.94212263217
1618,108492.76977262576
1619,151456.21102425898
1620,156954.64539916348
1621,132697.0805049024
